timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/18 07:35:57.958, 74249, 97887, 100
2026/06/18 07:35:58.959, 74249, 97887, 100
2026/06/18 07:35:59.959, 74249, 97887, 65
2026/06/18 07:36:00.960, 74249, 97887, 100
2026/06/18 07:36:01.960, 74249, 97887, 100
2026/06/18 07:36:02.961, 74249, 97887, 69
2026/06/18 07:36:03.961, 74249, 97887, 100
2026/06/18 07:36:04.962, 74249, 97887, 100
2026/06/18 07:36:05.962, 74249, 97887, 71
2026/06/18 07:36:06.962, 74249, 97887, 100
2026/06/18 07:36:07.963, 74249, 97887, 84
2026/06/18 07:36:08.963, 74249, 97887, 86
2026/06/18 07:36:09.964, 74249, 97887, 100
2026/06/18 07:36:10.964, 74249, 97887, 81
2026/06/18 07:36:11.965, 74249, 97887, 88
2026/06/18 07:36:12.965, 74249, 97887, 100
2026/06/18 07:36:13.966, 74249, 97887, 92
2026/06/18 07:36:14.966, 74249, 97887, 79
2026/06/18 07:36:15.967, 74249, 97887, 100
2026/06/18 07:36:16.967, 74249, 97887, 95
2026/06/18 07:36:17.967, 74249, 97887, 70
2026/06/18 07:36:18.968, 74249, 97887, 100
2026/06/18 07:36:19.968, 74249, 97887, 100
2026/06/18 07:36:20.969, 74249, 97887, 69
2026/06/18 07:36:21.969, 74249, 97887, 100
2026/06/18 07:36:22.970, 74249, 97887, 100
2026/06/18 07:36:23.970, 74249, 97887, 70
2026/06/18 07:36:24.971, 74249, 97887, 100
2026/06/18 07:36:25.971, 74249, 97887, 100
2026/06/18 07:36:26.971, 74249, 97887, 60
2026/06/18 07:36:27.972, 74249, 97887, 100
2026/06/18 07:36:28.972, 74249, 97887, 97
2026/06/18 07:36:29.973, 74249, 97887, 68
2026/06/18 07:36:30.973, 74249, 97887, 100
2026/06/18 07:36:31.975, 74249, 97887, 100
2026/06/18 07:36:32.975, 74249, 97887, 70
2026/06/18 07:36:33.976, 74249, 97887, 100
2026/06/18 07:36:34.976, 74249, 97887, 94
2026/06/18 07:36:35.977, 74249, 97887, 69
2026/06/18 07:36:36.977, 74249, 97887, 100
2026/06/18 07:36:37.978, 74249, 97887, 100
2026/06/18 07:36:38.978, 74249, 97887, 71
2026/06/18 07:36:39.979, 74249, 97887, 100
2026/06/18 07:36:40.979, 74249, 97887, 100
2026/06/18 07:36:41.980, 74249, 97887, 70
2026/06/18 07:36:42.980, 74249, 97887, 100
2026/06/18 07:36:43.981, 74249, 97887, 100
2026/06/18 07:36:44.981, 74249, 97887, 69
2026/06/18 07:36:45.982, 74249, 97887, 100
2026/06/18 07:36:46.982, 74249, 97887, 100
2026/06/18 07:36:47.983, 74249, 97887, 68
2026/06/18 07:36:48.983, 74249, 97887, 100
2026/06/18 07:36:49.984, 74249, 97887, 100
2026/06/18 07:36:50.984, 74249, 97887, 69
2026/06/18 07:36:51.985, 74249, 97887, 100
2026/06/18 07:36:52.985, 74249, 97887, 100
2026/06/18 07:36:53.986, 74249, 97887, 64
2026/06/18 07:36:54.986, 74249, 97887, 100
2026/06/18 07:36:55.986, 74249, 97887, 95
2026/06/18 07:36:56.987, 74249, 97887, 73
2026/06/18 07:36:57.987, 74249, 97887, 100
2026/06/18 07:36:58.988, 74249, 97887, 85
2026/06/18 07:36:59.988, 74249, 97887, 85
2026/06/18 07:37:00.989, 74249, 97887, 100
2026/06/18 07:37:01.989, 74249, 97887, 70
2026/06/18 07:37:02.990, 74249, 97887, 100
2026/06/18 07:37:03.991, 74249, 97887, 100
2026/06/18 07:37:04.991, 74249, 97887, 68
2026/06/18 07:37:05.992, 74249, 97887, 100
2026/06/18 07:37:06.992, 74249, 97887, 100
2026/06/18 07:37:07.993, 74249, 97887, 69
2026/06/18 07:37:08.993, 74249, 97887, 99
2026/06/18 07:37:09.994, 74249, 97887, 100
2026/06/18 07:37:10.994, 74249, 97887, 69
2026/06/18 07:37:11.995, 74249, 97887, 100
2026/06/18 07:37:12.995, 74249, 97887, 100
2026/06/18 07:37:13.996, 74249, 97887, 67
2026/06/18 07:37:14.997, 74249, 97887, 100
2026/06/18 07:37:15.997, 74249, 97887, 100
2026/06/18 07:37:16.998, 74249, 97887, 69
2026/06/18 07:37:17.998, 74249, 97887, 98
2026/06/18 07:37:18.999, 74249, 97887, 64
2026/06/18 07:37:19.999, 74249, 97887, 5
2026/06/18 07:37:21.000, 74249, 97887, 6
2026/06/18 07:37:22.001, 74249, 97887, 0
2026/06/18 07:37:23.001, 74249, 97887, 0
2026/06/18 07:37:24.002, 74249, 97887, 0
2026/06/18 07:37:25.002, 74249, 97887, 0
2026/06/18 07:37:26.003, 74249, 97887, 100
2026/06/18 07:37:27.003, 74249, 97887, 100
2026/06/18 07:37:28.004, 74249, 97887, 87
2026/06/18 07:37:29.004, 74249, 97887, 100
2026/06/18 07:37:30.004, 74249, 97887, 100
2026/06/18 07:37:31.005, 74249, 97887, 88
2026/06/18 07:37:32.005, 74249, 97887, 100
2026/06/18 07:37:33.005, 74249, 97887, 100
2026/06/18 07:37:34.006, 74249, 97887, 95
2026/06/18 07:37:35.006, 74249, 97887, 100
2026/06/18 07:37:36.007, 74249, 97887, 100
2026/06/18 07:37:37.007, 74249, 97887, 100
2026/06/18 07:37:38.007, 74249, 97887, 100
2026/06/18 07:37:39.008, 74249, 97887, 100
2026/06/18 07:37:40.008, 74249, 97887, 100
2026/06/18 07:37:41.008, 74249, 97887, 100
2026/06/18 07:37:42.009, 74249, 97887, 100
2026/06/18 07:37:43.009, 74249, 97887, 100
2026/06/18 07:37:44.010, 74249, 97887, 97
2026/06/18 07:37:45.010, 74249, 97887, 100
2026/06/18 07:37:46.011, 74249, 97887, 100
2026/06/18 07:37:47.011, 74249, 97887, 87
2026/06/18 07:37:48.012, 74249, 97887, 100
2026/06/18 07:37:49.012, 74249, 97887, 100
2026/06/18 07:37:50.012, 74249, 97887, 89
2026/06/18 07:37:51.013, 74249, 97887, 100
2026/06/18 07:37:52.013, 74249, 97887, 100
2026/06/18 07:37:53.013, 74249, 97887, 92
2026/06/18 07:37:54.014, 74249, 97887, 100
2026/06/18 07:37:55.014, 74249, 97887, 100
2026/06/18 07:37:56.015, 74249, 97887, 87
2026/06/18 07:37:57.015, 74249, 97887, 100
2026/06/18 07:37:58.015, 74249, 97887, 100
2026/06/18 07:37:59.016, 74249, 97887, 100
2026/06/18 07:38:00.016, 74249, 97887, 100
2026/06/18 07:38:01.017, 74249, 97887, 100
2026/06/18 07:38:02.017, 74249, 97887, 100
2026/06/18 07:38:03.017, 74249, 97887, 100
2026/06/18 07:38:04.018, 74249, 97887, 100
2026/06/18 07:38:05.018, 74249, 97887, 100
2026/06/18 07:38:06.019, 74249, 97887, 97
2026/06/18 07:38:07.019, 74249, 97887, 100
2026/06/18 07:38:08.020, 74249, 97887, 100
2026/06/18 07:38:09.020, 74249, 97887, 92
2026/06/18 07:38:10.021, 74249, 97887, 100
2026/06/18 07:38:11.021, 74249, 97887, 100
2026/06/18 07:38:12.022, 74249, 97887, 92
2026/06/18 07:38:13.022, 74249, 97887, 100
2026/06/18 07:38:14.022, 74249, 97887, 100
2026/06/18 07:38:15.023, 74249, 97887, 93
2026/06/18 07:38:16.023, 74249, 97887, 100
2026/06/18 07:38:17.024, 74249, 97887, 100
2026/06/18 07:38:18.024, 74249, 97887, 92
